term	code
European ancestry late-onset Alzheimer's disease	EUR
European ancestry latent autoimmune diabetes	EUR
European ancestry lean	EUR
European ancestry left-handed	EUR
European ancestry less-fat diet	EUR
European ancestry lifetime cannabis use	EUR
European ancestry light	EUR
European ancestry light hair	EUR
European ancestry lithium treated bipolar disorder	EUR
European ancestry liver transplant-free	EUR
European ancestry liver transplantation	EUR
European ancestry lobar	EUR
European ancestry long-lived	EUR
European ancestry long-living	EUR
European ancestry long-term former	EUR
European ancestry long-term progressor male	EUR
European ancestry low BMD	EUR
European ancestry low body mass index	EUR
European ancestry low interferon alpha	EUR
European ancestry low malignant potential	EUR
European ancestry low mammographic density	EUR
European ancestry low myopia	EUR
European ancestry low myopic	EUR
European ancestry low NFT	EUR
European ancestry low or no titer	EUR
European ancestry low radon exposure	EUR
European ancestry low tanning	EUR
European ancestry low waist-to-hip ratio	EUR
European ancestry lung adenocarcinoma	EUR
European ancestry lung cancer	EUR
European ancestry lung squamous cell carcinoma	EUR
European ancestry lymphoblast	EUR
European ancestry lymphoblastoid	EUR
European ancestry major depression	EUR
European ancestry major depressive disorder	EUR
European ancestry Major depressive disorder	EUR
European ancestry major depressive disorder female	EUR
European ancestry male	EUR
European ancestry male child	EUR
European ancestry malignant cutaneous melanoma	EUR
European ancestry marginal zone lymphoma	EUR
European ancestry maternal or paternal	EUR
European ancestry MCI	EUR
European ancestry MCI dementia	EUR
European ancestry MDD	EUR
European ancestry medically refractory ulcerative colitis	EUR
European ancestry men	EUR
European ancestry microscopic polyangiitis	EUR
European ancestry middle-aged adult	EUR
European ancestry migraine	EUR
European ancestry mild	EUR
European ancestry mild cognitive impairment	EUR
European ancestry Mild Cognitive Impairment	EUR
European ancestry mild neurocognitive disorder	EUR
European ancestry mixed	EUR
European ancestry MMR vaccine-related febrile seizures	EUR
European ancestry MMR vaccine-unrelated febrile seizures	EUR
European ancestry moderate	EUR
European ancestry moderate and high tanning	EUR
European ancestry moderate high BMD	EUR
European ancestry moderate progressor male	EUR
European ancestry monoclonal gammopathy	EUR
European ancestry monoclonal gammopathy of undetermined significance	EUR
European ancestry monozygotic	EUR
European ancestry morbidly obese	EUR
European ancestry more-fat diet	EUR
European ancestry morning	EUR
European ancestry morning chronotype	EUR
European ancestry mostly never	EUR
European ancestry mother-child	EUR
European ancestry mothers of spontaneous dizygotic	EUR
European ancestry multiple keratinocyte cancer	EUR
European ancestry multiple myeloma	EUR
European ancestry multiple sclerosis	EUR
European ancestry neuroblastoma	EUR
European ancestry neuropsychiatric disorder	EUR
European ancestry neutral	EUR
European ancestry never	EUR
European ancestry never smoker	EUR
European ancestry never smokers with high FEV1 measure	EUR
European ancestry never smokers with low FEV1 measure	EUR
European ancestry never smoking	EUR
European ancestry never-smoker	EUR
European ancestry newborn	EUR
European ancestry no or low consumption	EUR
European ancestry non smoker	EUR
European ancestry non-accommodative	EUR
European ancestry non-aggressive	EUR
European ancestry non-allergic non-sensitized child	EUR
European ancestry non-allergic non-sensitized normal child	EUR
European ancestry non-array genotype imputed	EUR
European ancestry non-black hair	EUR
European ancestry non-blond hair	EUR
European ancestry non-brown hair	EUR
European ancestry non-college graduated	EUR
European ancestry non-demented	EUR
European ancestry non-diabetic	EUR
European ancestry non-diabetic elderly	EUR
European ancestry non-drinker	EUR
European ancestry non-medically refractory ulcerative colitis	EUR
European ancestry non-multiple sclerosis	EUR
European ancestry non-obese	EUR
European ancestry non-obstructive azoospermic	EUR
European ancestry non-red hair	EUR
European ancestry non-regular	EUR
European ancestry non-responder	EUR
European ancestry non-responders to first treat	EUR
European ancestry non-Richardson's syndrome	EUR
European ancestry non-right-handed	EUR
European ancestry non-small cell lung cancer	EUR
European ancestry non-survivor	EUR
European ancestry non-treatment resistant	EUR
European ancestry non/occasional, light-to-moderate, and heavy drinker	EUR
European ancestry nonlobar	EUR
European ancestry normal or lean	EUR
European ancestry obese	EUR
European ancestry obsessive-compulsive disorder	EUR
European ancestry OCB negative	EUR
European ancestry OCB positive	EUR
European ancestry OCD	EUR
European ancestry OCD parent-child	EUR
European ancestry older	EUR
European ancestry older adult	EUR
European ancestry oligozoospermic	EUR
European ancestry open-angle glaucoma	EUR
European ancestry opioid misusers (impeded progression)	EUR
European ancestry opioid-dependent daily injector	EUR
European ancestry oral and oropharynx squamous cell carcinoma	EUR
European ancestry oral cavity cancer	EUR
European ancestry oropharynx cancer	EUR
European ancestry osteonecrosis	EUR
European ancestry ostium secundum atrial septal defect	EUR
European ancestry other genetic generalized epilepsies	EUR
European ancestry ovarian cancer	EUR
European ancestry ovarian endometrioid carcinoma	EUR
European ancestry overweight	EUR
European ancestry overweight or obese	EUR
European ancestry pediatric	EUR
European ancestry persistent asthma	EUR
European ancestry phenytoin-induced hypersensitivity	EUR
European ancestry placebo treated	EUR
European ancestry poor response	EUR
European ancestry population	EUR
European ancestry post-chemotherapy menses	EUR
European ancestry post-pubescent	EUR
European ancestry post-traumatic stress disorder	EUR
European ancestry postmenopausal	EUR
European ancestry postural instability/gait difficulty	EUR
European ancestry PrCa	EUR
European ancestry prepubescent	EUR
European ancestry preterm birth	EUR
European ancestry primary acute anterior uveitis	EUR
European ancestry primary open angle glaucoma	EUR
European ancestry primary sclerosing cholangitis	EUR
European ancestry problematic alcohol use	EUR
European ancestry Progressive nonfluent aphasia	EUR
European ancestry prostate cancer	EUR
European ancestry prostate cancer male	EUR
European ancestry proxy	EUR
European ancestry psoriasis	EUR
European ancestry psychosis	EUR
European ancestry pubescent	EUR
European ancestry rapid progressor male	EUR
European ancestry recurrent	EUR
European ancestry recurrent major depressive disorder	EUR
European ancestry recurrent major depressive disorder female	EUR
European ancestry red hair	EUR
European ancestry regular	EUR
European ancestry related	EUR
European ancestry remitted asthma	EUR
European ancestry resilient	EUR
European ancestry resistant	EUR
European ancestry responder	EUR
European ancestry responders to first treat	EUR
European ancestry rheumatoid arthritis	EUR
European ancestry Richardson's syndrome	EUR
European ancestry right-handed	EUR
European ancestry rotator cuff tear	EUR
European ancestry Sarcoidosis	EUR
European ancestry schizo-affective	EUR
European ancestry schizoaffective	EUR
European ancestry Schizoaffective disorder	EUR
European ancestry schizophrenia	EUR
European ancestry Schizophrenia	EUR
European ancestry schizophrenia cases,19,924 European ancestry  bipolar disorder	EUR
European ancestry schizophrenia cases,19,924 European ancestry bipolar disorder	EUR
European ancestry schizophrenia female	EUR
European ancestry schizophrenia male	EUR
European ancestry self-reported major depressive disorder	EUR
European ancestry Semantic dementia	EUR
European ancestry sero-negative	EUR
European ancestry sero-postitive	EUR
European ancestry seroconverter	EUR
European ancestry seronegative	EUR
European ancestry seropositive non-progressors	EUR
European ancestry seropositive rapid progressors	EUR
European ancestry serous ovarian cancer	EUR
European ancestry severe	EUR
European ancestry short	EUR
European ancestry shoulder impingement	EUR
European ancestry siblings	EUR
European ancestry single keratinocyte cancer	EUR
European ancestry small vessel stroke	EUR
European ancestry smoker	EUR
European ancestry spontaneously cleared HCV	EUR
European ancestry sproadic Parkinson's disease	EUR
European ancestry squamous cell carcinoma	EUR
European ancestry stage 1	EUR
European ancestry stage 1 or 2	EUR
European ancestry stage 2	EUR
European ancestry stage 3	EUR
European ancestry stage 3 or 4	EUR
European ancestry stage 4	EUR
European ancestry supraventricular ectopy	EUR
European ancestry survivor	EUR
European ancestry sustained quitter	EUR
European ancestry systemic lupus erythematosus	EUR
European ancestry systemic sclerosis	EUR
European ancestry T2D	EUR
European ancestry tall	EUR
European ancestry term birth	EUR
European ancestry testicular cancer survivor	EUR
European ancestry thick CCT	EUR
European ancestry thin	EUR
European ancestry thin CCT	EUR
European ancestry thoracic aortic aneurysm	EUR
European ancestry thyroiditis	EUR
European ancestry tolerant	EUR
European ancestry Tourette's	EUR
European ancestry trauma-exposed	EUR
European ancestry trauma-exposed and unexposed	EUR
European ancestry treated	EUR
European ancestry treated breast cancer	EUR
European ancestry treated schizophrenia	EUR
European ancestry treatment resistant	EUR
European ancestry tremor dominant	EUR
European ancestry trios with asthmatic	EUR
European ancestry triple negative	EUR
European ancestry twins and their	EUR
European ancestry twins from 1,089	EUR
European ancestry twins from 666	EUR
European ancestry twins from 894	EUR
European ancestry twins in 1,905	EUR
European ancestry type 1	EUR
European ancestry type 1 diabetes	EUR
European ancestry Type 1 diabetes	EUR
European ancestry Type 1 Diabetes	EUR
European ancestry type 1 diabetes and neuropathy	EUR
European ancestry type 2 diabetes	EUR
European ancestry type 2 diabetes and neuropathy	EUR
European ancestry type 2 diabetes cases and	EUR
European ancestry type 2 diabetes female	EUR
European ancestry ulcerative colitis	EUR
European ancestry unaffected	EUR
European ancestry uncertain phenotype adult	EUR
European ancestry uncertain phenotype child	EUR
European ancestry unexposed	EUR
European ancestry unilateral cleft lip	EUR
European ancestry unilateral cleft palate	EUR
European ancestry unrelated	EUR
European ancestry unrelated members of	EUR
European ancestry untreated	EUR
European ancestry venous thrombosis	EUR
European ancestry ventricular ectopy	EUR
European ancestry whole genome sequenced	EUR
European ancestry whole genome sequenced controls, African American	AFR,EUR
European ancestry whole-exome sequenced	EUR
European ancestry whole-genome sequenced	EUR
European ancestry with genotype 1 HCV	EUR
European ancestry women	EUR
European ancestry young	EUR
European ancestry young adult	EUR
European ancestry young female	EUR
European ancestry youth	EUR
European ancestry, African American and unknown ancestry	AFR,EUR
European ancestry, African American or Afro-Caribbean, East Asian ancestry, Hispanic or Latin American	AFR,AMR,EAS,EUR
European ancestry, African American or Afro-Caribbean, Hispanic or Latin American child	AFR,AMR,EUR
European ancestry, African American, and other ancestry	AFR,EUR
European ancestry, East Asian ancestry, South Asian ancestry, African American, Hispanic	AFR,AMR,EAS,EUR,SAS
European ancestry, NR ancestry	EUR
European and African American ancestry	AFR,EUR
European and African ancestry	AFR,EUR
European and East Asian ancestry	EAS,EUR
European and East Asian ancestry lithium non-responder bipolar disorder	EAS,EUR
European and East Asian ancestry lithium responder bipolar disorder	EAS,EUR
European and East Asian ancestry schizophrenia	EAS,EUR
European and Japanese ancestry	EAS,EUR
European and Japanese ancestry endometriosis	EAS,EUR
European and Mexican ancestry	AMR,EUR
European and other ancestry	EUR
European and other ancestry Alzheimer's disease	EUR
European and other ancestry APOEe4	EUR
European and other ancestry bipolar	EUR
European and other ancestry early mild cognitive impairment	EUR
European and other ancestry health	EUR
European and other ancestry healthy	EUR
European and other ancestry late mild cognitive impairment	EUR
European and other ancestry negative	EUR
European and other ancestry p.Phe508del homozygote	EUR
European and other ancestry placebo-controlled	EUR
European and other ancestry positive	EUR
European and other ancestry rheumatoid arthritis	EUR
European and other ancestry zileuton-treated	EUR
European and South Asian ancestry	EUR,SAS
European and unknown ancestry	EUR
European and unknown ancestry ADHD	EUR
European and unknown ancestry Barrett's esophagus	EUR
European and unknown ancestry bipolar disorder	EUR
European and unknown ancestry chronic obstructive pulmonary disease	EUR
European and unknown ancestry chronic pulmonary obstructive disease	EUR
European and unknown ancestry coronary artery disease	EUR
European and unknown ancestry epilepsy	EUR
European and unknown ancestry esophageal adenocarcinoma	EUR
European and unknown ancestry genotoxic compound-exposed	EUR
European and unknown ancestry genotoxic compound-exposed controls,255 European and unknown ancestry unexposed	EUR
European and unknown ancestry hypopharynx cancer	EUR
European and unknown ancestry modified Rankin score 0-1	EUR
European and unknown ancestry modified Rankin score 0-2	EUR
European and unknown ancestry modified Rankin score 2-6	EUR
European and unknown ancestry modified Rankin score 3-6	EUR
European and unknown ancestry multiple keratinocyte cancer	EUR
European and unknown ancestry mutation	EUR
European and unknown ancestry non-	EUR
European and unknown ancestry overlapping	EUR
European and unknown ancestry single keratinocyte cancer	EUR
European and unknown ancestry unexposed	EUR
European asthma	EUR
European dermatomyositis	EUR
European female	EUR
European individuals from 2,585 independent	EUR
European juvenile dermatomyositis ancestry	EUR
European male ancestry	EUR
European or East Asian	EAS,EUR
European or East Asian ancestry	EAS,EUR
European or unknown ancestry	EUR
European or unknown ancestry mastiha exposed	EUR
European or unknown ancestry unexposed	EUR
European, African American and Asian ancestry	AFR,EAS,EUR,SAS
European, African American and Hispanic unmedicated bipolar disorder	AFR,AMR,EUR
European, African American and Hispanic unmedicated major depressive disorder	AFR,AMR,EUR
European, African American and Native American ancestry	AFR,AMR,EUR
European, African American and Native American ancestry cases with psychosis from 264	AFR,AMR,EUR
European, African American and Native American ancestry cases without psychosis from 264	AFR,AMR,EUR
European, African American and other ancestry	AFR,EUR
European, African American and other ancestry substance dependence	AFR,EUR
European, African American and unknown ancestry	AFR,EUR
European, African American or Afro-Caribbean, Hispanic or Latin American ancestry child	AFR,AMR,EUR
European, African American or Hispanic	AFR,AMR,EUR
European, African American, Asian and other ancestry	AFR,EAS,EUR,SAS
European, African American, Asian and other ancestry darapladib-treated	AFR,EAS,EUR,SAS
European, African American, Asian and other ancestry placebo-treated	AFR,EAS,EUR,SAS
European, African American, Asian, Native American and other admixed ancestry	AFR,AMR,EAS,EUR,SAS
European, African American, Asian, Native American and other admixed ancestry sibling	AFR,AMR,EAS,EUR,SAS
European, African American, Asian, other and unknown ancestry	AFR,EAS,EUR,SAS
European, African American, Asian, other and unknown ancestry schizoaffective disorder	AFR,EAS,EUR,SAS
European, African American, Asian, other and unknown ancestry schizophrenia	AFR,EAS,EUR,SAS
European, African American, East Asian, South Asian or Hispanic ancestry	AFR,AMR,EAS,EUR,SAS
European, African American, Hispanic or South Asian	AFR,AMR,EUR,SAS
European, African American, Hispanic, and other ancestry Schizophrenia	AFR,AMR,EUR
European, African American, Hispanic, Asian, Pacific Islander and other ancestry	AFR,AMR,EAS,EUR,SAS
European, African American, Hispanic/Latino or East Asian ancestry	AFR,AMR,EAS,EUR
European, African American, Hispanic/Latino or East Asian ancestry female	AFR,AMR,EAS,EUR
European, African American, Hispanic/Latino or East Asian ancestry male	AFR,AMR,EAS,EUR
European, African American, South Asian and Hispanic ancestry	AFR,AMR,EUR,SAS
European, African, African American, South East Asian, East Asian, American Indian/Alaskan Native, Mixed race, Arabic/North African, Central/South Asian or Japanese Asian ancestry treated	AFR,AMR,EAS,EUR,SAS
European, African, African American, South East Asian, East Asian, American Indian/Alaskan Native, Mixed race, Arabic/North African, Central/South Asian or Japanese Asian ancestry untreated	AFR,AMR,EAS,EUR,SAS
European, African, Asian and unknown ancestry	AFR,EAS,EUR,SAS
European, African, Asian and unknown ancestry individuals with ALT measure	AFR,EAS,EUR,SAS
European, African, Asian, and Hispanic ancestry	AFR,AMR,EAS,EUR,SAS
European, African, Hispanic and Asian ancestry	AFR,AMR,EAS,EUR,SAS
European, African, Hispanic or unknown ancestry	AFR,AMR,EUR
European, African, Oceania, Hispanic	AFR,AMR,EAS,EUR,SAS
European, Asian and unknown ancestry	EAS,EUR,SAS
European, Asian, African, Arabic, Native American, Pacific Islander and other ancestry	AFR,AMR,EAS,EUR,SAS
European, Black	AFR,EUR
European, Black, and unknown ancestry	AFR,EUR
European, Black, Asian, Native American or unknown ancestry	AFR,AMR,EAS,EUR,SAS
European, Chinese and other ancestry	EAS,EUR
European, East Asian ancestry female	EAS,EUR
European, East Asian, African American, South Asian and Hispanic ancestry	AFR,AMR,EAS,EUR,SAS
European, Hispanic and African ancestry	AFR,AMR,EUR
European, Hispanic and other ancestry	AMR,EUR
European, Hispanic, African American, Asian, mixed race and other ancestry sustained response	AFR,AMR,EAS,EUR,SAS
European, Hispanic, African American, Asian, mixed race and other ancestry unsustained response	AFR,AMR,EAS,EUR,SAS
European, Hispanic, African, Asian or unknown ancestry	AFR,AMR,EAS,EUR,SAS
European, Hispanic, Asian, African or unknown ancestry	AFR,AMR,EAS,EUR,SAS
European, Hispanic, Native American, African American, East Asian and other ancestry	AFR,AMR,EAS,EUR,SAS
European, Hispanic, Native American, African American, East Asian and other ancestry trauma-exposed	AFR,AMR,EAS,EUR,SAS
European, Indian, Caribbean, African ancestry	AFR,AMR,EUR,SAS
European, Indian, Caribbean, African ancestry ancestry	AFR,AMR,EUR,SAS
European, South Asian and Hispanic or Latin American ancestry	AMR,EUR,SAS
European, South Asian, East Asian, African American/Afro-Caribbean, Hispanic and other ancestry	AFR,AMR,EAS,EUR,SAS
European, Sub-Saharan African, Hispanic or unknown ancestry	AFR,AMR,EUR
Europen ancestry	EUR
female European ancestry	EUR
Fijian Indian	SAS
Filipino	AMR,EAS,SAS
Filipino ancestry	AMR,EAS,SAS
Filipino ancestry female	AMR,EAS,SAS
Finland founder	EUR
Finnish	EUR
Finnish ancestry	EUR
Finnish ancestry child	EUR
Finnish ancestry controls from 739	EUR
Finnish ancestry controls from up to 739	EUR
Finnish ancestry evening	EUR
Finnish ancestry ever smoker individuals from 739	EUR
Finnish ancestry ever smoker individuals from up to 739	EUR
Finnish ancestry female non-severe erosion	EUR
Finnish ancestry female severe erosion	EUR
Finnish ancestry infant	EUR
Finnish ancestry male non-severe erosion	EUR
Finnish ancestry male severe erosion	EUR
Finnish ancestry mild or no erosion	EUR
Finnish ancestry morning	EUR
Finnish ancestry non-diabetic	EUR
Finnish ancestry severe erosion	EUR
Finnish Saami	EUR
French ancestry	EUR
French ancestry estrogen receptor negative	EUR
French ancestry estrogen receptor positive	EUR
French Canadian	EUR
French Canadian ancestry	EUR
French Canadian founder	EUR
French Canadian founder adolescent	EUR
French-Canadian (founder/genetic isolate) ancestry adolescents from up to 486	EUR
French-Canadian ancestry	EUR
Friuli Venezia Giulia (founder/genetic isolate)	EUR
Friuli Venezia Giulia (founder/genetic isolated)	EUR
Fulani	AFR
Gambian ancestry	AFR
Genetically Homogenous Irish	EUR
German	EUR
German ancestry	EUR
German ancestry alcohol dependence	EUR
German and Swedish ancestry	EUR
Greater Middle Eastern (Middle Eastern, North African or Persian)	AFR,EUR,SAS
Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, NR	AFR,EUR,SAS
Greater Middle Eastern (Middle Eastern, North African or Persian), Hispanic or Latin American, NR moderate to severe atopic dermatitis	AFR,EUR,SAS
Greater Middle Eastern ancestry	AFR,EUR,SAS
Greek ancestry	EUR
Greek ancestry schizophrenia	EUR
Greek ancestry T2D	EUR
Greenlandic	EUR
Greenlandic ancestry	EUR
Han Chinese	EAS
Han Chinese American lymphoblastoid	EAS
Han Chinese ancestry	EAS
Han Chinese ancestry ACPA negative	EAS
Han Chinese ancestry ACPA positive	EAS
Han Chinese ancestry alcohol dependence	EAS
Han Chinese ancestry asymptomatic	EAS
Han Chinese ancestry centenarian	EAS
Han Chinese ancestry child	EAS
Han Chinese ancestry child or adolescent	EAS
Han Chinese ancestry chronic HBV	EAS
Han Chinese ancestry dizygotic	EAS
Han Chinese ancestry esophageal squamous-cell carcinoma	EAS
Han Chinese ancestry extreme high and low BMD female	EAS
Han Chinese ancestry female	EAS
Han Chinese ancestry female centenarian	EAS
Han Chinese ancestry female middle-aged	EAS
Han Chinese ancestry focal epilepsy	EAS
Han Chinese ancestry HBV carrier	EAS
Han Chinese ancestry HBV cleared	EAS
Han Chinese ancestry HBV-positive HCC	EAS
Han Chinese ancestry heroin dependence	EAS
Han Chinese ancestry high myopia	EAS
Han Chinese ancestry high-responder	EAS
Han Chinese ancestry human lymphoblastoid	EAS
Han Chinese ancestry hypertensive	EAS
Han Chinese ancestry individuals with osteoporosis-related bone measure	EAS
Han Chinese ancestry lung cancer	EAS
Han Chinese ancestry lymphoblastoid	EAS
Han Chinese ancestry male	EAS
Han Chinese ancestry male centenarian	EAS
Han Chinese ancestry male gout	EAS
Han Chinese ancestry male middle-aged	EAS
Han Chinese ancestry methamphetamine dependence	EAS
Han Chinese ancestry middle-age	EAS
Han Chinese ancestry mild	EAS
Han Chinese ancestry non-cardia gastric cancer	EAS
Han Chinese ancestry non-diabetic	EAS
Han Chinese ancestry non-responder	EAS
Han Chinese ancestry non-smoker	EAS
Han Chinese ancestry progressed	EAS
Han Chinese ancestry responder	EAS
Han Chinese ancestry schizophrenia	EAS
Han Chinese ancestry seropositive	EAS
Han Chinese ancestry severe	EAS
Han Chinese ancestry smoker	EAS
Han Chinese ancestry tolerant	EAS
Han Chinese ancestry trichloroethylene-tolerant	EAS
Han Chinese ancestry Type 2 diabetes	EAS
Han Chinese ancestry young-onset-hypertensive	EAS
Han Chinese and unknown ancestry	EAS
Han Taiwanese ancestry	EAS
Hispanic	AMR
HIspanic	AMR
Hispanic adult	AMR
Hispanic American	AMR
Hispanic American abacavir-treated	AMR
Hispanic American tenofovir-treated	AMR
Hispanic ancestry	AMR
﻿Hispanic ancestry	AMR
Hispanic Ancestry	AMR
Hispanic and other ancestry	AMR
Hispanic and unknown ancestry	AMR
Hispanic asthmatic	AMR
Hispanic asymptomatic neurocognitive impairment	AMR
Hispanic bilateral cleft lip cases,167 Hispanic unilateral cleft lip	AMR
Hispanic bilateral cleft palate	AMR
Hispanic boy borderline NASH	AMR
Hispanic boy definite NASH	AMR
Hispanic Caucasian	AMR
Hispanic child	AMR
Hispanic children from 260	AMR
Hispanic children from 263	AMR
Hispanic controls,197 Brazilian ancestry	AMR
Hispanic current	AMR
Hispanic current smoker	AMR
Hispanic ever	AMR
Hispanic ever smoker	AMR
Hispanic female	AMR
Hispanic former and never	AMR
Hispanic genotype 1 HCV	AMR
Hispanic heavy smoker	AMR
Hispanic incident	AMR
Hispanic individuals, up to750 East Asian ancestry	AMR
Hispanic light smoker	AMR
Hispanic male	AMR
Hispanic mild neurocognitive disorder	AMR
Hispanic mixed	AMR
Hispanic mostly never	AMR
Hispanic never	AMR
Hispanic never smoker	AMR
Hispanic newborn	AMR
Hispanic non smoker	AMR
Hispanic non-regular	AMR
Hispanic or Latin American	AMR
Hispanic or Latin American active	AMR
Hispanic or Latin American ancestry	AMR
Hispanic or Latin American and unknown ancestry	AMR
Hispanic or Latin American drinkers and	AMR
Hispanic or Latin American female	AMR
Hispanic or Latin American heavy	AMR
Hispanic or Latin American heavy and light	AMR
Hispanic or Latin American inactive	AMR
Hispanic or Latin American light	AMR
Hispanic or Latin American male	AMR
Hispanic or Latino ancestry	AMR
Hispanic osteonecrosis	AMR
Hispanic prevalent	AMR
Hispanic psoriasis	AMR
Hispanic regular	AMR
Hispanic rheumatoid arthritis	AMR
Hispanic trauma-exposed and unexposed	AMR
Hispanic treated	AMR
Hispanic unilateral cleft palate	AMR
Hispanic youth	AMR
Hispanic, European, Asian, South Asian or African American	AFR,AMR,EAS,EUR,SAS
Hispanic/Latin American	AMR
Hispanic/Latin American ancestry	AMR
Hispanic/Latin American college graduated	AMR
Hispanic/Latin American non-college graduated	AMR
Hispanic/Latina	AMR
Hispanic/Latino	AMR
Hispanic/Latino American	AMR
Hispanic/Latino American exposed	AMR
Hispanic/Latino American unexposed	AMR
Hispanic/Latino ancestry	AMR
Hispanic/Latino ancestry supraventricular ectopy	AMR
Hispanic/Latino ancestry ventricular ectopy	AMR
Hispanic/Latino drinker	AMR
Hispanic/Latino individuals with decayed, missing or filled tooth surface measure	AMR
Hispanic/Latino male ancestry	AMR
Hispanic/Latino non-drinker	AMR
Hispanic/Latino or unknown ancestry	AMR
Hispanic/Native american	AMR
Hispanic/Native American	AMR
Hispanics ancestry	AMR
Hong Kong Chinese ancestry individuals from 111	EAS
Hui Chinese ancestry	EAS
Hutterite	EUR
Hutterite (founder/genetic isolate) adult	EUR
Icelandic	EUR
Icelandic ancestry	EUR
Icelandic ancestry controls (includes non-array genotyped, whole-genome imputed	EUR
Icelandic ancestry controls (including non-array genotyped, whole genome imputed	EUR
Icelandic ancestry individuals (includes non-array genotyped, whole-genome imputed	EUR
Icelandic controls (includes non-array genotyped, whole-genome imputed	EUR
Indian ancestry	SAS
Indian ancestry controls from 405	SAS
Indian ancestry good responder	SAS
Indian ancestry poor responder	SAS
Indian ancestry pregnant female	SAS
Indian Asian ancestry	SAS
Indian Asian ancestry male	SAS
Indo-European ancestry	EUR
Indo-European Indian ancestry	EUR,SAS
Indonesian	EAS
Indonesian ancestry	EAS
Iranian ancestry	EUR,SAS
Irish ancestry	EUR
Israeli	EUR
Israeli-Arab ancestry	EUR
Italian ancestry	EUR
Italian ancestry smoker	EUR
Japanese	EAS
Japanese American	EAS
Japanese American ancestry current smoker	EAS
Japanese American individuals from 15	EAS
Japanese ancestry	EAS
Japanese ancestry 5-yr hepatocellular carcinoma-free	EAS
Japanese ancestry active and inactive	EAS
Japanese ancestry adolescent female	EAS
Japanese ancestry adverse reaction	EAS
Japanese ancestry AIS non-progression	EAS
Japanese ancestry AIS progression	EAS
Japanese ancestry APOE 4-	EAS
Japanese ancestry APOE 4+	EAS
Japanese ancestry APOE 4e+	EAS
Japanese ancestry APOE-ε4 carrier	EAS
Japanese ancestry APOE-ε4 noncarrier	EAS
Japanese ancestry asthmatic	EAS
Japanese ancestry asymptomatic carriers or chronic hepatitis	EAS
Japanese ancestry bilateral	EAS
Japanese ancestry cases schizophrenic	EAS
Japanese ancestry cases,3,389 Japanese ancestry	EAS
Japanese ancestry chronic hepatitis and hepatocellular carcinoma	EAS
Japanese ancestry chronic hepatitis C with hepatocellular carcinoma	EAS
Japanese ancestry chronic hepatitis C without hepatocellular carcinoma	EAS
Japanese ancestry conrols	EAS
Japanese ancestry Crohn's disease	EAS
Japanese ancestry current drinking	EAS
Japanese ancestry current smoker	EAS
Japanese ancestry early age at menarche	EAS
Japanese ancestry ever	EAS
Japanese ancestry ever smoker	EAS
Japanese ancestry female	EAS
Japanese ancestry female curly hair	EAS
Japanese ancestry female straight hair	EAS
Japanese ancestry female thick eyebrow	EAS
Japanese ancestry female thin eyebrow	EAS
Japanese ancestry Graves’ disease	EAS
Japanese ancestry Hashimoto thyroiditis	EAS
Japanese ancestry healthy	EAS
Japanese ancestry hepatocellular carcinoma	EAS
Japanese ancestry high dose	EAS
Japanese ancestry high hs-cTnT	EAS
Japanese ancestry high responder	EAS
Japanese ancestry intermediate responder	EAS
Japanese ancestry intracerebral hemorrhage	EAS
Japanese ancestry leukaemic	EAS
Japanese ancestry low dose	EAS
Japanese ancestry low hs-cTnT	EAS
Japanese ancestry low responder	EAS
Japanese ancestry lymphoblastoid	EAS
Japanese ancestry male	EAS
Japanese ancestry male and female	EAS
Japanese ancestry median age at menarche	EAS
Japanese ancestry mild	EAS
Japanese ancestry mild and no injury treated	EAS
Japanese ancestry moderate	EAS
Japanese ancestry never	EAS
Japanese ancestry never smoker	EAS
Japanese ancestry non-adverse reaction	EAS
Japanese ancestry non-current drinking	EAS
Japanese ancestry non-responder	EAS
Japanese ancestry physically active	EAS
Japanese ancestry physically inactive	EAS
Japanese ancestry poor	EAS
Japanese ancestry rapid joint destruction	EAS
Japanese ancestry responder	EAS
Japanese ancestry schizophrenia	EAS
Japanese ancestry schizophrenic	EAS
Japanese ancestry severe	EAS
Japanese ancestry severe injury	EAS
Japanese ancestry slow joint destruction	EAS
Japanese ancestry subarachnoid hemorrhage	EAS
Japanese ancestry ulcerative colitis	EAS
Japanese ancestry unilateral	EAS
Japanese ancestry world-class	EAS
Japanese cases, 8.925 Japanese	EAS
Japaneses ancestry	EAS
Jewish	EUR
Jewish-Israeli ancestry	EUR
Jewish-Israeli ancestry controls from 107	EUR
Jingpo Chinese ancestry	EAS
Kenyan ancestry	AFR
Korcula (founder/genetic isolate)	EUR
Korculan (founder/genetic isolate)	EUR
Korculan (founder/genetic isolate), Split (founder/genetic isolate), Vis (founder/genetic isolate), Erasmus Rucphen (founder/genetic isolate) and other European ancestry	EUR
Korculan (founder/genetic isolated)	EUR
Korean	EAS
Korean ancestry	EAS
Korean ancestry ADHD child	EAS
Korean ancestry adult	EAS
Korean ancestry adult onset	EAS
Korean ancestry anti-TPO	EAS
Korean ancestry cases and	EAS
Korean ancestry child	EAS
Korean ancestry childhood onset	EAS
Korean ancestry COPD	EAS
Korean ancestry current	EAS
Korean ancestry D.f.-negative	EAS
Korean ancestry D.f.-positive	EAS
